Product_Name,Price,Rating,Availability,Product_Link
Men Regular Fit Grey Cotton Blend Trousers,₹449,3.9★,Available,https://www.flipkart.com/red-cherry-regular-fit-men-grey-trousers/p/itm5317f1433902c?pid=TROGG7ETXGQRF6S5&lid=LSTTROGG7ETXGQRF6S5ERJJ4Z&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_331&otracker=search&otracker1=search&fm=organic&iid=en_KZ5FGACEaLZ3elxtpCSGQ9FkYa6L1ANcYe2WqWiK-bsywIL1-Po9MGKJDIZD7TJDNzY33P6zMTy4vEJVlOkdtQ%3D%3D&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Men Slim Fit Grey Polyester Trousers,₹919,NA,Available,https://www.flipkart.com/raymond-slim-fit-men-grey-trousers/p/itm8da0b215911dd?pid=TROGT59XEZJFR5ZZ&lid=LSTTROGT59XEZJFR5ZZX9UGUA&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_335&otracker=search&otracker1=search&fm=organic&iid=c68bb356-72b0-4418-88bd-074da3d36f82.TROGT59XEZJFR5ZZ.SEARCH&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Men Regular Fit Black Lycra Blend Trousers,₹339,4★,Available,https://www.flipkart.com/perfect-regular-fit-men-black-trousers/p/itm6ae0c6151f989?pid=TROGDSSHVMV9JBUY&lid=LSTTROGDSSHVMV9JBUYGO2STY&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_322&otracker=search&otracker1=search&fm=organic&iid=en_KZ5FGACEaLZ3elxtpCSGQ9FkYa6L1ANcYe2WqWiK-bsUGAf1_mvngdZR8VtHsAbbhuhedeuVszH8_KYcGEJCww%3D%3D&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Men Slim Fit Grey Pure Cotton Trousers,₹540,3.8★,Available,https://www.flipkart.com/indian-garage-co-slim-fit-men-grey-trousers/p/itmc65a80df9dd6c?pid=TROGPC9TKCGUHJWH&lid=LSTTROGPC9TKCGUHJWHMNVQDD&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_350&otracker=search&otracker1=search&fm=organic&iid=c68bb356-72b0-4418-88bd-074da3d36f82.TROGPC9TKCGUHJWH.SEARCH&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Men Slim Fit Maroon Lycra Blend Trousers,₹685,3.8★,Available,https://www.flipkart.com/red-cherry-slim-fit-men-maroon-trousers/p/itma336bbec293eb?pid=TROGR84RFWXHFGYK&lid=LSTTROGR84RFWXHFGYKMGEA3E&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_358&otracker=search&otracker1=search&fm=organic&iid=en_KZ5FGACEaLZ3elxtpCSGQ9FkYa6L1ANcYe2WqWiK-bvO1levhCBHkbj7qzo3TmPtsHYd8xWj-VUYfwyS04cFog%3D%3D&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Men Regular Fit Black Cotton Blend Trousers,"₹1,175",3.8★,Available,https://www.flipkart.com/allen-solly-regular-fit-men-black-trousers/p/itm7c321635949ff?pid=TROGHWH4EGJF7GPA&lid=LSTTROGHWH4EGJF7GPAMAFO4K&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_323&otracker=search&otracker1=search&fm=organic&iid=c68bb356-72b0-4418-88bd-074da3d36f82.TROGHWH4EGJF7GPA.SEARCH&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Men Regular Fit Dark Blue Cotton Blend Trousers,₹757,3.9★,Available,https://www.flipkart.com/urbano-plus-regular-fit-men-dark-blue-trousers/p/itm0ef48c982d613?pid=TROFUUTH8MXF3VM3&lid=LSTTROFUUTH8MXF3VM3EOLZQL&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_352&otracker=search&otracker1=search&fm=organic&iid=en_KZ5FGACEaLZ3elxtpCSGQ9FkYa6L1ANcYe2WqWiK-buIGbCCiqDBMKxMmnj7DvOGlyKfRwsL6eZXrT29ja4vSw%3D%3D&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Men Slim Fit Black Cotton Blend Trousers,₹419,3.8★,Available,https://www.flipkart.com/srey-slim-fit-men-black-trousers/p/itmbe466bbd870e7?pid=TROFXQUZTQSZDWWF&lid=LSTTROFXQUZTQSZDWWFOS6VVV&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_351&otracker=search&otracker1=search&fm=organic&iid=en_KZ5FGACEaLZ3elxtpCSGQ9FkYa6L1ANcYe2WqWiK-bsK4stCUvFSMvdGcMMSGqLj1J-W06rLcQTN12BVXwRHmA%3D%3D&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Women Regular Fit Black Lycra Blend Trousers,₹359,4.1★,Available,https://www.flipkart.com/q-rious-regular-fit-women-black-trousers/p/itmce20854f664e3?pid=TROGK2EH8PU9GAMW&lid=LSTTROGK2EH8PU9GAMWL74EOT&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_344&otracker=search&otracker1=search&fm=organic&iid=c68bb356-72b0-4418-88bd-074da3d36f82.TROGK2EH8PU9GAMW.SEARCH&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Men Tapered White Cotton Blend Trousers,₹879,4.2★,Available,https://www.flipkart.com/flying-machine-tapered-men-white-trousers/p/itm8de8b6a9842ea?pid=TROGSAVZC5TUCUKE&lid=LSTTROGSAVZC5TUCUKEOBXPWE&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_355&otracker=search&otracker1=search&fm=organic&iid=c68bb356-72b0-4418-88bd-074da3d36f82.TROGSAVZC5TUCUKE.SEARCH&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
"Pack of 2 Men Slim Fit Black, Grey Lycra Blend Trousers",₹479,4★,Available,https://www.flipkart.com/perfect-slim-fit-men-black-grey-trousers/p/itmde5a332a2c27a?pid=TROGPY8QD2G9UHCV&lid=LSTTROGPY8QD2G9UHCVQZ8JN2&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_327&otracker=search&otracker1=search&fm=organic&iid=en_KZ5FGACEaLZ3elxtpCSGQ9FkYa6L1ANcYe2WqWiK-bu4007HeUhZNdKSYUF82XSWCiIdTVWlgdvYSDAEw4bsHA%3D%3D&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Men Slim Fit Brown Cotton Blend Trousers,₹999,4.4★,Available,https://www.flipkart.com/peter-england-slim-fit-men-brown-trousers/p/itm4aa912879687f?pid=TROGQMS8NRGYMK6M&lid=LSTTROGQMS8NRGYMK6MYYGE17&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_325&otracker=search&otracker1=search&fm=organic&iid=c68bb356-72b0-4418-88bd-074da3d36f82.TROGQMS8NRGYMK6M.SEARCH&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
"Pack of 2 Men Regular Fit Grey, Black Lycra Blend Trousers",₹479,4★,Available,https://www.flipkart.com/perfect-regular-fit-men-grey-black-trousers/p/itm0f90572510484?pid=TROGHUAX7A5ZENCQ&lid=LSTTROGHUAX7A5ZENCQF1E0CG&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_332&otracker=search&otracker1=search&fm=organic&iid=en_KZ5FGACEaLZ3elxtpCSGQ9FkYa6L1ANcYe2WqWiK-bvG7psM2DXwLs-HqJdzGnzq2uKnxkifXRADiFkr3Em5jA%3D%3D&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Men Slim Fit Black Lycra Blend Trousers,₹429,3.7★,Available,https://www.flipkart.com/provogue-slim-fit-men-black-trousers/p/itm2c6b5e72ef767?pid=TROGHHSBDUNGJ7N2&lid=LSTTROGHHSBDUNGJ7N218UPT7&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_321&otracker=search&otracker1=search&fm=organic&iid=en_KZ5FGACEaLZ3elxtpCSGQ9FkYa6L1ANcYe2WqWiK-bvPTLMcLk-4FP_0z1Bgu8N4ClyLUkuwAJQ8C_qiEaueWA%3D%3D&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Men Slim Fit Light Blue Cotton Blend Trousers,₹562,3.8★,Available,https://www.flipkart.com/urbano-fashion-slim-fit-men-light-blue-trousers/p/itmff7dgg6e5gsrm?pid=TROFST5WSGDFH6BH&lid=LSTTROFST5WSGDFH6BH0ILONT&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_347&otracker=search&otracker1=search&fm=organic&iid=en_KZ5FGACEaLZ3elxtpCSGQ9FkYa6L1ANcYe2WqWiK-buMqWhK6zvRnjYnrQKOw9q7rIxUS3gz9Ggd20WMOq7qpg%3D%3D&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Men Slim Fit Black Cotton Blend Trousers,₹930,4.4★,Available,https://www.flipkart.com/killer-slim-fit-men-black-trousers/p/itmf4464972c11d1?pid=TROGSZASYUN9W7RZ&lid=LSTTROGSZASYUN9W7RZYOTBXX&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_346&otracker=search&otracker1=search&fm=organic&iid=c68bb356-72b0-4418-88bd-074da3d36f82.TROGSZASYUN9W7RZ.SEARCH&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
Women Regular Fit Grey Cotton Blend Trousers,₹412,4.1★,Available,https://www.flipkart.com/ms-bottom-regular-fit-women-grey-trousers/p/itm2c4098738f0c9?pid=TROGSTPNG6DD4YWJ&lid=LSTTROGSTPNG6DD4YWJDNDMMO&marketplace=FLIPKART&q=trouser&store=clo%2Fvua%2Fmle&srno=s_9_345&otracker=search&otracker1=search&fm=organic&iid=c68bb356-72b0-4418-88bd-074da3d36f82.TROGSTPNG6DD4YWJ.SEARCH&ppt=None&ppn=None&ssid=ne1lelgpyo0000001699122750649&qH=a6ea0201872b6f90
